"Article_ID","Date","Title","Subject","Topic.Code"
28042,"21-Apr-01","Desperate for Prison Guards, Some States Even Rob Cradles","State prisons lowering minimum age of corrections officers to fill vacancies",12
38379,"20-Sep-06","Settling Disputes Across a Table When Officer and Citizen Clash","New York City police department and methods for resolving disputes against citizens",12
39617,"10-Mar-97","Campaign Finance Complicates China Policy","China connection to campaign finance scandal",20
30837,"21-Dec-05","Getting There, Any Which Way","NYC transit workers' strike",5
31927,"7-May-98","20 Years, 20 Strikeouts","baseball",29
6534,"15-Sep-04","BOMBING KILLS 47 AT POLICE STATION IN IRAQI CAPITAL","Iraq insurgency; high casualties of single bomb attack in Baghdad.",16
25249,"21-Mar-02","CAMPAIGN FINANCE BILL WINS FINAL APPROVAL IN CONGRESS AND BUSH SAYS HE'LL SIGN IT","campaign finance passes congress",20
44859,"29-Oct-97","Amid Day-After Jitters, Opportunity Beckons","stock market",15
22866,"28-Apr-02","In Crisis, U.S. Catholics See Turning Point for Church","priest abuse scandal",31
28718,"18-May-02","Survivor of '63 Bomb Recalls Glass Shards and a Sister Lost","1963 klansman's bombing, murder trial for killing 4 black girls",2
30957,"8-Jan-98","Canada Apologizes To Indigenous Tribes","Canada; indigenous tribes",19
27896,"1-Mar-01","The President's Budget: The Proposal; President Unveils $1.96 Trillion Plan That Trims Taxes","Bush Proposes tax cuts in budget",1
29741,"28-Nov-03","Medicare Plan For Competition Faces Hurdles","plan to make medicare competitive",3
45544,"10-Nov-98","SUPREME COURT ROUNDUP;","supreme court ruling on school vouchers",6
28259,"11-Jul-01","Bush Drug Plan Calls for Using Discount Cards","Bush calls for changes in Medicare, wants elderly to acquire drug discount cards",3
35278,"24-Jul-99","Condoms for Women Gain Approval Among Africans","Female Condom: Important Weapon against AIDS",3
7488,"4-Jan-05","U.S. May Add Advisers to Aid Iraq's Military","American military advisers needed to help struggling Iraqi police force",16
34464,"17-Apr-99","Most Get Work After Welfare, Studies Suggest","fate of americans who leave welfare",13
29341,"15-May-03","THE SARS EPIDEMIC: 'SUPERSPREADER'; 
Man's Virus Infects Town, Killing His Family","SARS kills a man's whole family",19
41038,"4-Sep-97","Arizona Governor Convicted Of Fraud and Will Step Down","arizona governor convicted of fraud",24
28726,"23-May-02","Hormone May Explain Difficulty Dieters Have Keeping Weight Off","hormone's relationship to dieting problems",3
33731,"13-Jan-99","Concern Rising About Mergers In Health Plans","Aetna and Prudenital Health Care to merge health plans",15
43178,"29-Jul-96","If Immigrants Lose U.S. Aid, Local Budgets May Feel Pain","immigrants and welfare",13
19580,"3-Oct-02","Man Accused of Shoe-Bomb Plot Says He Intends to Plead Guilty","shoe bomber",19
7491,"16-Apr-05","Security vs. Rebuilding: Kurdish Town Loses Out","American rebuilding priorities in Iraq leave citizens without clean water",16
37784,"25-Jun-06","Bush's Immigration Plan Stalled As House G.O.P. Grew Anxious","President Bush and House G.O.P. disagree on immigration plan",20
20338,"22-Jul-02","More Say Yes to Foreign Service, But Not to Hardship Assignments","hiring of Foreign Service officers",19
35349,"2-Aug-99","COALITION'S WOES MAY HINDER GOALS OF CHRISTIAN RIGHT","Christian Coalition in debt, may not be able to influence 2000 elections",20
30629,"22-Jun-05","Ex-Klansman Guilty of Manslaughter in 1964 Deaths","1964 hate crime trial",2
25815,"3-Jul-05","Conservative Groups Rally Against Gonzales as Justice","Potential Supreme Court nominee Gonzales faces opposition",20
39878,"12-Apr-97","DOW DROPS 148.36 AS REPORTS SHOW SIGNS OF INFLATION","dow falls over inflation reports",15
24551,"22-Oct-00","TIES THAT BIND: A special report.;
Lazio's G.O.P. Role Is a Campaign Asset But Also a Liability","Rick Lazio's role in the GOP",20
43157,"26-Jul-96","THE FATE OF FLIGHT 800: THE DATA; Record of Quick Destruction: Briefest Sound, Then Silence","investigation of TWA flight 800",10
19280,"9-May-01","House Threatens To Hold U.N. Dues In Loss Of A Seat","Washington to withhold UN dues after loss of ECOSOC seat",19
7474,"13-Dec-03","A REGION INFLAMED: RECONSTRUCTION; 
Bush Sees Need For Repayment If Fee Was High","Halliburton overcharging scandal",16
45564,"13-Nov-98","A Failure to Verify A Cancer Advance Is Raising Concern","cancer research",3
40038,"2-May-97","U.S. ENERGY CHIEF REMOVES MANAGER FOR BROOKHAVEN","Energy Chief removes manager of Brookhaven National Laboratory, citing health and safety concerns",7
23656,"21-Dec-03","Lost? Hiding? Your Cellphone Is Keeping Tabs","cellphone with tracking devices",17
34912,"8-Jun-99","Boiling in Brooklyn","hot weather in Brooklyn, New York",26
42401,"5-May-96","2 Governors Back $130 Million Plan To Deepen Harbor","NY and NJ Plan to Deepen Shipping Channels",21
40908,"18-Aug-97","In TV's Dull Summer Days, Plots Take Wing on the Net","Impatient fans resolve prime time's cliffhangers on the internet in ""fan fiction""",17
6168,"14-Nov-02","Annan Presses Bush to Avoid A Rush to War","Kofi Annan and Iraq",16
6444,"17-Dec-03","Bomb Kills 17 in Iraq","bomb in Iraq",16
44793,"22-Oct-97","When Worlds, Lots of Them, Collide","images from the hubble telescope",17
40348,"8-Jun-97","Worth the Wait","Hockey: Stanley Cup",29
7782,"2-Mar-05","2 FROM TRIBUNAL FOR HUSSEIN CASE ARE ASSASSINATED","Two members of tribunal in Saddam Hussein trial assassinated",16
23763,"11-May-00","EBay Cancels Art Sale and Suspends Seller","E-bay cancels sale",17
29601,"13-Sep-03","Overseers Missed Big Picture As Failures Led to Blackout","blackout",8
35714,"16-Sep-99","Russian Blast Kills 4","Russian truck bomb kills 4, wounds 70",19
27136,"16-Jan-00","Custody Case Is Overshadowing Shift Among Cuban Immigrants","Elian Gonzalez",5
23659,"25-Jun-04","Court Orders F.C.C. to Rethink New Rules on Growth of Media","Rejection by federal court of new rules on the expansion of telecommunication companies; new rules were favored by the Bush administration.",17
17816,"4-Jul-02","Russian Town's Heart Torn Out by Crash","plane crash victims",19
25418,"7-Jul-03","South Is Posing '04 Questions For Democrats in the Senate","Southern Democrats in Senate elections",20
38389,"21-Sep-06","Iran's Leader Relishes 2nd Chance to Make Waves","Iran's president and address to U.N.",19
36934,"20-Feb-06","Company Town Relies on G.M. Long After Plants Have Closed","Rust-belt towns remain dependent on pension- and health-plans provided by now-departed large corporations.",14
26919,"21-Nov-04","Seeking Solutions","State of charity donations.",13
18673,"24-Mar-02","Israelis Warned on Arafat","Israel must allow arafat to travel to arab league meeting",19
37824,"1-Jul-06","G.M. IS PRESSED TO FORM ALLIANCE WITH TWO RIVALS","General Motors' largest shareholder pressing G.M. into an alliance with Nissan and Renault",15
23222,"10-Feb-02","Enron Fall Creates Race to Regulate","Enron scandal",15
35735,"19-Sep-99","Friends and Families Invited When Companies Go Public","stock market:  friends and family shares",15
32018,"17-May-98","In Street Vendors' Smorgasbord, Threat of Sickness Lurks","health concerns in nyc food carts",4
35553,"28-Aug-99","A Farewell to the Russian Space Station","The last full time crew of Mir, a Russian space station, return home",19
28250,"7-Jul-01","Broad Job Losses Last Month Show Slump Is Lingering","employment down in all sectors, including service, throwing doubts on economy's recovery",1
44803,"23-Oct-97","Union Monitor Seeking to Oust Laborers' Chief","union dispute",5
27314,"11-Apr-00","Microsoft Hires A Bush Adviser To Lobby Bush","Microsoft antitrust case",15
19884,"10-Oct-05","Belgium Is Trying to Unravel The Threads of a Terror Web","counterterrorism in Belgium",19
22157,"16-Feb-02","SALT LAKE 2002","olympics",29
34658,"11-May-99","Bank Group to Buy Republic New York","bank takeover",15
31998,"14-May-98","House Acts to Ease 30's Banking Curbs By One-Vote Margin","house passes new banking legislation",15
8073,"6-Jul-02","BUSH OFFERS KARZAI SYMPATHY ON DEAD","Bush offers sympathy to karzai",16
41068,"8-Sep-97","Whitman's Re-election Race Faces Pocketbook Backlash","nj governor race",24
44707,"13-Oct-97","A WAR OF NUMBERS EMERGES OVER COST OF ENLARGING NATO","NATO expansion",16
34709,"17-May-99","At the End, the Knicks Advance","basketball playoffs",29
43950,"23-Oct-96","WORLD SERIES '96; Cone Pitches the Yankees To Victory Over the Braves","baseball",29
37794,"26-Jun-06","Tax Revenues Are a Windfall For Louisiana","Tax revenues rise in Lousisiana despite 2005's hurricanes",1
34739,"20-May-99","SETTLEMENTS SEEN IN VITAMIN PRICING","vitamin price fixing scandal",15
27305,"8-Apr-00","U.S. SET TO ORDER A SPEEDY RETURN OF BOY TO FATHER","Elian Gonzalez",5
42130,"7-Apr-96","A Search Through Time","unabomber case",16
31027,"17-Jan-98","Debate Distant for Many Having Abortions","Abortion; 25 years since Supreme Court ruled abortion constiutional right; debate continues",2
7591,"27-May-04","Iraqi Rejects Top Job; Cleric's Aide Seized","Rejection by Iraqi mooted as possible head of interim governing council to serve; capture of aid to Shiite militia leader.",16
5611,"21-May-02","ASHCROFT LEARNED OF AGENT'S ALERT JUST AFTER 9/11","Ashcroft learned about a 9/11 warning after the attacks",16
38960,"13-Dec-06","White House to Delay Shift On Iraq Until Early in 2007","White House plans to delay shift on Iraq until 2007",16
43259,"7-Aug-96","POLITICS: THE FRESHMEN; G.O.P.'S FRESHMEN OUT ON THE STUMP","GOP freshman campaigning",20
32820,"23-Aug-98","Is Clinton's Legacy Clouded?","How Clinton will be judged in Lewinsky scandal",20
44975,"11-Nov-97","Power Lunch Is 2 in a Row, Just New York Minutes Each","fast lunches",28
45143,"29-Nov-97","From Prison, Old Militant Struggles On","militant in prison for vietnam protests",12
38084,"8-Aug-06","Public Pension Plans Face Billions in Shortages","Public pension plans face billions of dollars in shortages",5
34403,"9-Apr-99","CRISIS IN THE BALKANS: THE BEREFT;","Kosovo refugees",19
18215,"1-Dec-00","Selling Cheap 'Generic' Drugs, India's Copycats Irk Industry","generic drugs in India",19
26615,"4-Nov-02","Assault on Wall St. Misdeeds Lifts Spitzer's U.S. Profile and Makes Enemies","NY attorney general",15
17478,"14-Oct-05","AT LEAST 85 SLAIN AS REBELS ATTACK IN SOUTH RUSSIA","Insurgent attacks in S. Russia",19
36007,"22-Oct-99","Scientists Find Enzyme Linked To Alzheimer's","research into alzheimer's disease",3
27908,"7-Mar-01","Senate Votes to Repeal Rules Clinton Set on Work Injuries","Senate votes to repeal workplace injuries rules",5
29359,"22-May-03","Test Standards Cut As Sanctions Loom","states lowering standards for school testing",6
38297,"8-Sep-06","Lawyers and G.O.P. Chiefs Resist Proposal on Tribunal","Bush administration's plan to bring terror suspects before military tribunals meets resistance",19
31407,"6-Mar-98","ANTIQUE FORTRESS: A special report.;","Antique armory in New York City in dilapidated condition",14
42627,"29-May-96","CLINTON PARTNERS IN ARKANSAS DEAL CONVICTED BY JURY","Whitewater verdict",20
22890,"12-Jul-02","Role of Bishops Is Now a Focus Of Grand Juries","role of bishops in catholic abuse scandal",31
24835,"9-Nov-03","DEAN'S NEW STEPS RESHAPE CONTEST","Howard Dean forgoes public financing",20
19746,"7-Jan-04","World Opinion Is Fragmented On Tighter Security for Visitors","Anti-terrorist screening procedures at entry points to the U.S..",19
31897,"3-May-98","Plane Crash Reviews Facing Long Delays","investigation of plane crashes",10
27129,"14-Jan-00","In Trade-Off With TV Networks, Drug Office Is Reviewing Scripts","drugs on tv",3
40628,"13-Jul-97","I Want My Times Square","MTV decides to use midtown New York as a backdrop",28
27672,"20-Oct-00","Nasdaq in a Big Rally","stocks rise",15
21751,"23-Jul-05","Ferocious Heat Maintains Grip Across the West","Heat wave in the West.",26
20154,"15-Sep-02","Arrests Raising Hopes in Hunt For Al Qaeda","capture of an al-qaeda operative",16
24820,"7-Sep-03","Political Memo; 
Democrats Split on Pushing The Personal or the Political","democratic candidates for president",20
19011,"29-Aug-02","Worried Saudis Pay Millions To Improve Image in the U.S.","Saudis paying to improve US image",19
27205,"24-Feb-00","Complaint Cites Bias At the Secret Service","secret service discrimination",2
44609,"2-Oct-97","Blacks in South Africa Find New Wealth but Old Biases","Blacks in South Africa still face racial discrimination",19
19288,"4-Sep-01","The Racism Walkout: The Overview; U.S. And Israelis Quit Racism Talks Over Denunciation","US and Israel walk out of UN racism conference",19
25132,"9-Oct-04","Under Fire, Firing Back","Presidential election; candidates' debate; analysis.",20
33372,"28-Oct-98","G.O.P. Begins Ad Campaign Citing Scandal","Republicans open nationwide television ads using Lewinsky scandal as a theme",20
33621,"30-Dec-98","MOST STATES MEET WORK REQUIREMENT OF WELFARE LAW","Most states meet work requirement for welfare law",13
18980,"13-Sep-05","Gazans Revel as They Sift Through Ex-Settlements","Abandonment of Israeli settlements in Gaza",19
26930,"2-Jan-05","Wall Street's Designs on '05? A Boom in Merger Activity","Rise in mergers and acquisitions on Wall Street",15
19931,"19-Sep-01","A Nation Challenged: Policy And Legislation; U.S. Widens Policy On Detaining Suspects; Troubled Airlines Get Federal Aid Pledge","Bush administration wides power to detain suspected immigrants",16
24978,"13-Apr-04","Timing of Clinton Memoir Is Everything, for Kerry","The fears of John Kerry over Bill Clinton's memoirs.",20
24373,"15-Mar-00","Secondary Primaries","primaries",20
33741,"14-Jan-99","Removal of Healthy Breasts Is Found to Cut Cancer Risk","At risk women take drastic measures to prevent breast cancer",3
39424,"13-Feb-97","Embarrassed, Giuliani Promises Changes at a Shelter for Women","Giuliani embarrassed by the sexual misconduct at the battered women's shelter; investigation",12
30452,"19-Mar-05","Despite Congress, Woman's Feeding Tube Is Removed","Terri Schiavo's feeding tube is removed despite Congressional efforts to halt process",3
18695,"8-Apr-02","ISRAEL PERSISTING WITH WIDE SWEEP DESPITE U.S. CALLS","Isreal continues assault",19
31277,"18-Feb-98","STANDOFF WITH IRAQ: THE OVERVIEW;","Iraq Crisis: Clinton prepared to order air strikes",16
39297,"27-Jan-97","Green Bay Recaptures The Glories Of Its Past","Green Bay Packers win superbowl",29
30139,"11-Aug-04","Health Plan That Cuts Costs Raises Doctors' Ire","Improved methods of patient diagnostics leading to loss of revenue for doctors; incentive problems in U.S. health system.",3
31337,"26-Feb-98","THE DEAL ON IRAQ: SECRET ARSENAL: The Hunt for the Germs of War -- A special report.;","Iraq Crisis; Purchase of nutrients to grow germs",16
28266,"14-Jul-01","In Rural Areas, Interstates Build Their Own Economy","interstates a source of economy in rural West",10
28181,"8-Jun-01","Subject to Review","Politicians already talking about revisions to tax law",1
20228,"24-Mar-04","For a Day, Terrorism Transcends Politics as Commission Examines Failures","9/11 Comission's deliberations; bipartisan consensus on pre-9/11 faults.",16
42152,"9-Apr-96","U.S. Ready to Rescue Americans From Fighting in Liberia Capital","US to rescue americans in liberia",16
